2025-04-17 08:01:00,457 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add nosuid Option to /var/log/audit: Ensure /var/log/audit is mounted with nosuid option] ***
2025-04-17 08:01:00,457 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:01,482 p=17812 u=dmeta n=ansible | TASK [config-core-dump : Disable acquiring, saving, and processing core dumps - Collect systemd Socket Units Present in the System] ***
2025-04-17 08:01:01,482 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:02,672 p=17812 u=dmeta n=ansible | TASK [config-core-dump : Disable acquiring, saving, and processing core dumps - Ensure systemd-coredump.socket is Masked] ***
2025-04-17 08:01:02,673 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:02,692 p=17812 u=dmeta n=ansible | TASK [config-audit-template : XCCDF Value var_auditd_name_format] *******************
2025-04-17 08:01:02,692 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:02,712 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Set type of computer node name logging in audit logs - Define Value to Be Used in the Remediation] ***
2025-04-17 08:01:02,713 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:03,506 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Check for duplicate values] ***************************
2025-04-17 08:01:03,507 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:04,394 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Insert correct line to /etc/audit/auditd.conf] ********
2025-04-17 08:01:04,394 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:05,852 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-3-access-failed.rules according to policy] ***
2025-04-17 08:01:05,852 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:07,081 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/10-base-config.rules according to policy] ***
2025-04-17 08:01:07,082 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:08,365 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-1-create-failed.rules according to policy] ***
2025-04-17 08:01:08,365 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:09,855 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-1-create-success.rules according to policy] ***
2025-04-17 08:01:09,855 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:11,287 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-4-delete-failed.rules according to policy] ***
2025-04-17 08:01:11,287 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:12,703 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-4-delete-success.rules according to policy] ***
2025-04-17 08:01:12,703 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:14,257 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/11-loginuid.rules according to policy] ***
2025-04-17 08:01:14,257 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:15,820 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-2-modify-failed.rules according to policy] ***
2025-04-17 08:01:15,821 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:17,117 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/43-module-load.rules according to policy] ***
2025-04-17 08:01:17,117 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:18,499 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42.rules according to policy] ***
2025-04-17 08:01:18,499 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:20,092 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-6-owner-change-failed.rules according to policy] ***
