카메라고유번호,역사명,역사아이디,카메라명,카메라아이피,NVR RTSP주소,제조사명,모델명,장애상태코드
103100,내송,103,선로전환기 카메라-3,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114689/2/media.smp,,,
103101,내송,103,선로전환기 카메라-4,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114690/2/media.smp,,,
103102,내송,103,선로전환기 카메라-5,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114691/2/media.smp,,,
103103,내송,103,선로전환기 카메라-6(102역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114692/2/media.smp,,,
103104,내송,103,선로전환기 카메라-7(102역 상행2),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114693/2/media.smp,,,
103105,내송,103,선로전환기 카메라-8(102역 하행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114694/2/media.smp,,,
103106,내송,103,선로전환기 카메라-9(102역 하행2),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114695/2/media.smp,,,
103107,내송,103,선로전환기 카메라-10(103역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114696/2/media.smp,,,
103108,내송,103,선로전환기 카메라-11(103역 하행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114697/2/media.smp,,,
103109,내송,103,선로전환기 카메라-12(103역 2신호장 6K072Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114698/2/media.smp,,,
103110,내송,103,선로전환기 카메라-13(차량기지 2신호장 6K072Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114699/2/media.smp,,,
103111,내송,103,선로전환기 카메라-14,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114700/2/media.smp,,,
103112,내송,103,선로전환기 카메라-15,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114701/2/media.smp,,,
103113,내송,103,선로전환기 카메라-16(104역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114702/2/media.smp,,,
103114,내송,103,선로전환기 카메라-17(104역 하행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114703/2/media.smp,,,
103115,내송,103,선로전환기 카메라-18(105역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114704/2/media.smp,,,
103116,내송,103,선로전환기 카메라-19(105역 상행2),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114705/2/media.smp,,,
103117,내송,103,선로전환기 카메라-20(105역 하행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114706/2/media.smp,,,
103118,내송,103,선로전환기 카메라-21(105역 하행2),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114707/2/media.smp,,,
103119,내송,103,선로전환기 카메라-22(106역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114708/2/media.smp,,,
103120,내송,103,선로전환기 카메라-23(106역 하행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114709/2/media.smp,,,
103121,내송,103,선로전환기 카메라-24(107역 상행1),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114710/2/media.smp,,,
103122,내송,103,집수정 카메라-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114711/2/media.smp,,,
103123,내송,103,집수정 카메라-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114712/2/media.smp,,,
103124,내송,103,집수정 카메라-3(차량기지 2신호장 6K050Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114713/2/media.smp,,,
103125,내송,103,본선환기 카메라-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114714/2/media.smp,,,
